Strategy,Seed,Timeout Rate (%),Avg Case Cycle Time (min),Avg Resource Occupation Humans (%),"Weighted Fairness (Jain, humans)",P90 Case Cycle Time (min),Avg Wait Time (min),Service Level <=60min (%),Value-Weighted Wait (min),Value-at-Risk SLA Breach (%),Case Handover Rate,Automation Leverage on Eligible Tasks (%),Human Capacity Stress Ratio (%)
Basic: Random,0,0.0,2021.36625,87.81258973087263,0.9752853846825511,2846.95,46.86842632475207,88.17990583992787,46.54522063382281,11.991509965994625,0.5897840993378356,63.89674079624017,0.016148204811608897
Heuristic: Round-Robin,0,0.0,2021.74425,87.8381896858183,0.9757024792241382,2847.475,46.03137834318341,88.33016127416609,45.778114608489545,11.841536446298681,0.5774027560879479,63.334809113510204,0.006784626591609797
Pattern: Case Handling,0,1.5977161173995793,5324.58525,62.333351010234914,0.8743274290663426,10899.808333333332,2035.5752278874086,38.25252929980968,2099.8331202569607,63.15753339140624,0.0,25.02683425089159,0.009600520440677173
Batch: Greedy k=5,0,100.0,,,,,65.0,0.0,65.00000000000001,100.0,,,0.0
Advanced: Assignment Problem,0,56.561153961734945,1829.5494166666665,98.08931489639721,0.14730335487632232,2848.266666666667,62.4475358108785,43.43884603826505,62.432156087842756,56.757602833512436,0.9981553008449944,0.9846827133479212,9.743482189460803
Advanced: OR-Optimized,0,0.0,1939.6981666666666,69.54649215298102,0.7923866648660708,2836.9,19.117624962436143,92.82279875788842,19.23709225984792,7.484970812835109,0.3366495966401068,100.0,0.007436321603949286
Basic: Random,1,0.0,2021.2974166666668,88.0529335038687,0.9736398909051335,2841.7166666666667,47.10695682660523,88.15987178202946,46.79420567069763,11.966461327521326,0.5864069766552882,64.13513605558016,0.017460234316344136
Heuristic: Round-Robin,1,0.0,2021.3059166666667,88.12042694441239,0.9764402136145206,2846.875,46.35906040268456,88.2700591004708,46.086270605037,11.876885306913817,0.5789673449994696,63.3858938119402,0.015037271802456934
Pattern: Case Handling,1,2.1160973655213864,5348.418166666667,61.85099513919745,0.8730579824595162,11112.7,2127.0350846438946,37.80927576880697,2173.848306172692,63.51833172731214,0.0,24.420304992688532,0.009070880349367379
Batch: Greedy k=5,1,100.0,,,,,65.0,0.0,65.00000000000001,100.0,,,0.0
Advanced: Assignment Problem,1,56.58118801963338,1834.4365833333334,98.08984196522158,0.14735133223205157,2852.9,62.44828708804969,43.41881198036662,62.43384482858265,56.64985549073999,0.9972993846157974,0.9881577915457611,9.751958142197314
Advanced: OR-Optimized,1,0.0,1940.163,70.62251194267516,0.8034099066123057,2836.9,19.12313432835821,92.8202945006511,19.24363130243844,7.4890517249356785,0.33433548545042396,100.0,0.010832265708791361
Basic: Random,2,0.0,2021.7978333333333,87.99634429851491,0.975962799149679,2846.95,46.90786837623961,88.17239306821597,46.62483222689882,11.953263657788083,0.5896209461289137,63.87971256343017,0.015751443022626155
Heuristic: Round-Robin,2,0.0,2020.4440833333333,88.12304680400712,0.9746685109485097,2841.8,46.26677852348993,88.3451868175899,46.026881985244785,11.820699309113172,0.5776887427613153,63.3790825188162,0.010872964096996264
Pattern: Case Handling,2,1.282179705499349,5192.9205833333335,63.591479451223655,0.8899012909252997,10114.966666666667,1965.32154662927,38.06471000701192,2021.2739884308808,63.44880441167231,0.0,24.79729496601456,0.008003990016247416
Batch: Greedy k=5,2,100.0,,,,,65.0,0.0,65.00000000000001,100.0,,,0.0
Advanced: Assignment Problem,2,56.57617950515878,1828.6833333333334,98.08719866845594,0.14729594478229496,2842.05,62.44866272663528,43.42382049484123,62.43458794960585,56.648254467304696,0.9981883825290743,0.971558411031889,9.735991812623887
Advanced: OR-Optimized,2,0.0,1940.2953333333332,70.37623950492183,0.8035655517903246,2836.9,19.12050485825904,92.8152859861765,19.22988620807883,7.488725251967633,0.3348974201667011,100.0,0.00796681555759742
