,date,predicted_cluster
0,2016-01-01,0
1,2016-01-02,0
2,2016-01-03,0
3,2016-01-04,0
4,2016-01-05,0
5,2016-01-06,0
6,2016-01-07,0
7,2016-01-08,0
8,2016-01-09,0
9,2016-01-10,0
10,2016-01-11,0
11,2016-01-12,0
12,2016-01-13,0
13,2016-01-14,0
14,2016-01-15,0
15,2016-01-16,0
16,2016-01-17,0
17,2016-01-18,0
18,2016-01-19,0
19,2016-01-20,0
20,2016-01-21,0
21,2016-01-22,0
22,2016-01-23,0
23,2016-01-24,0
24,2016-01-25,0
25,2016-01-26,0
26,2016-01-27,0
27,2016-01-28,0
28,2016-01-29,0
29,2016-01-30,0
30,2016-01-31,0
31,2016-02-01,0
32,2016-02-02,0
33,2016-02-03,0
34,2016-02-04,0
35,2016-02-05,0
36,2016-02-06,0
37,2016-02-07,0
38,2016-02-08,0
39,2016-02-09,0
40,2016-02-10,0
41,2016-02-11,0
42,2016-02-12,0
43,2016-02-13,0
44,2016-02-14,0
45,2016-02-15,0
46,2016-02-16,0
47,2016-02-17,0
48,2016-02-18,0
49,2016-02-19,0
50,2016-02-20,0
51,2016-02-21,0
52,2016-02-22,0
53,2016-02-23,0
54,2016-02-24,0
55,2016-02-25,0
56,2016-02-26,0
57,2016-02-27,0
58,2016-02-28,0
59,2016-02-29,0
60,2016-03-01,0
61,2016-03-02,0
62,2016-03-03,0
63,2016-03-04,0
64,2016-03-05,0
65,2016-03-06,0
66,2016-03-07,0
67,2016-03-08,0
68,2016-03-09,0
69,2016-03-10,0
70,2016-03-11,0
71,2016-03-12,0
72,2016-03-13,0
73,2016-03-14,0
74,2016-03-15,0
75,2016-03-16,0
76,2016-03-17,0
77,2016-03-18,0
78,2016-03-19,0
79,2016-03-20,0
80,2016-03-21,0
81,2016-03-22,1
82,2016-03-23,1
83,2016-03-24,1
84,2016-03-25,1
85,2016-03-26,1
86,2016-03-27,1
87,2016-03-28,1
88,2016-03-29,1
89,2016-03-30,1
90,2016-03-31,1
91,2016-04-01,1
92,2016-04-02,1
93,2016-04-03,1
94,2016-04-04,1
95,2016-04-05,1
96,2016-04-06,1
97,2016-04-07,1
98,2016-04-08,1
99,2016-04-09,1
100,2016-04-10,1
101,2016-04-11,1
102,2016-04-12,1
103,2016-04-13,1
104,2016-04-14,1
105,2016-04-15,1
106,2016-04-16,1
107,2016-04-17,1
108,2016-04-18,1
109,2016-04-19,1
110,2016-04-20,1
111,2016-04-21,1
112,2016-04-22,1
113,2016-04-23,1
114,2016-04-24,1
115,2016-04-25,1
116,2016-04-26,1
117,2016-04-27,1
118,2016-04-28,1
119,2016-04-29,1
120,2016-04-30,1
121,2016-05-01,1
122,2016-05-02,1
123,2016-05-03,1
124,2016-05-04,1
125,2016-05-05,1
126,2016-05-06,1
127,2016-05-07,1
128,2016-05-08,1
129,2016-05-09,1
130,2016-05-10,1
131,2016-05-11,1
132,2016-05-12,1
133,2016-05-13,1
134,2016-05-14,1
135,2016-05-15,1
136,2016-05-16,1
137,2016-05-17,1
138,2016-05-18,1
139,2016-05-19,1
140,2016-05-20,1
141,2016-05-21,1
142,2016-05-22,1
143,2016-05-23,1
144,2016-05-24,1
145,2016-05-25,1
146,2016-05-26,1
147,2016-05-27,1
148,2016-05-28,1
149,2016-05-29,1
150,2016-05-30,1
151,2016-05-31,1
152,2016-06-01,2
153,2016-06-02,2
154,2016-06-03,2
155,2016-06-04,2
156,2016-06-05,2
157,2016-06-06,2
158,2016-06-07,2
159,2016-06-08,2
160,2016-06-09,2
161,2016-06-10,2
162,2016-06-11,2
163,2016-06-12,2
164,2016-06-13,2
165,2016-06-14,2
166,2016-06-15,2
167,2016-06-16,2
168,2016-06-17,2
169,2016-06-18,2
170,2016-06-19,2
171,2016-06-20,2
172,2016-06-21,2
173,2016-06-22,2
174,2016-06-23,2
175,2016-06-24,2
176,2016-06-25,2
177,2016-06-26,2
178,2016-06-27,2
179,2016-06-28,2
180,2016-06-29,2
181,2016-06-30,2
182,2016-07-01,2
183,2016-07-02,2
184,2016-07-03,2
185,2016-07-04,2
186,2016-07-05,2
187,2016-07-06,2
188,2016-07-07,2
189,2016-07-08,2
190,2016-07-09,2
191,2016-07-10,2
192,2016-07-11,2
193,2016-07-12,2
194,2016-07-13,2
195,2016-07-14,2
196,2016-07-15,2
197,2016-07-16,2
198,2016-07-17,2
199,2016-07-18,2
200,2016-07-19,2
201,2016-07-20,2
202,2016-07-21,2
203,2016-07-22,2
204,2016-07-23,2
205,2016-07-24,2
206,2016-07-25,2
207,2016-07-26,2
208,2016-07-27,2
209,2016-07-28,2
210,2016-07-29,2
211,2016-07-30,2
212,2016-07-31,2
213,2016-08-01,2
214,2016-08-02,2
215,2016-08-03,2
216,2016-08-04,2
217,2016-08-05,2
218,2016-08-06,2
219,2016-08-07,2
220,2016-08-08,2
221,2016-08-09,2
222,2016-08-10,2
223,2016-08-11,2
224,2016-08-12,2
225,2016-08-13,2
226,2016-08-14,2
227,2016-08-15,2
228,2016-08-16,2
229,2016-08-17,2
230,2016-08-18,2
231,2016-08-19,2
232,2016-08-20,2
233,2016-08-21,2
234,2016-08-22,2
235,2016-08-23,2
236,2016-08-24,2
237,2016-08-25,2
238,2016-08-26,2
239,2016-08-27,2
240,2016-08-28,2
241,2016-08-29,2
242,2016-08-30,2
243,2016-08-31,2
244,2016-09-01,2
245,2016-09-02,2
246,2016-09-03,2
247,2016-09-04,2
248,2016-09-05,2
249,2016-09-06,2
250,2016-09-07,2
251,2016-09-08,2
252,2016-09-09,2
253,2016-09-10,2
254,2016-09-11,2
255,2016-09-12,2
256,2016-09-13,2
257,2016-09-14,2
258,2016-09-15,2
259,2016-09-16,2
260,2016-09-17,2
261,2016-09-18,2
262,2016-09-19,2
263,2016-09-20,2
264,2016-09-21,2
265,2016-09-22,2
266,2016-09-23,2
267,2016-09-24,2
268,2016-09-25,2
269,2016-09-26,2
270,2016-09-27,2
271,2016-09-28,2
272,2016-09-29,2
273,2016-09-30,2
274,2016-10-01,2
275,2016-10-02,2
276,2016-10-03,2
277,2016-10-04,2
278,2016-10-05,2
279,2016-10-06,2
280,2016-10-07,2
281,2016-10-08,2
282,2016-10-09,2
283,2016-10-10,2
284,2016-10-11,2
285,2016-10-12,2
286,2016-10-13,2
287,2016-10-14,2
288,2016-10-15,2
289,2016-10-16,2
290,2016-10-17,2
291,2016-10-18,2
292,2016-10-19,2
293,2016-10-20,2
294,2016-10-21,2
295,2016-10-22,2
296,2016-10-23,2
297,2016-10-24,2
298,2016-10-25,2
299,2016-10-26,2
300,2016-10-27,2
301,2016-10-28,2
302,2016-10-29,2
303,2016-10-30,2
304,2016-10-31,2
305,2016-11-01,2
306,2016-11-02,2
307,2016-11-03,2
308,2016-11-04,2
309,2016-11-05,2
310,2016-11-06,2
311,2016-11-07,2
312,2016-11-08,2
313,2016-11-09,2
314,2016-11-10,2
315,2016-11-11,2
316,2016-11-12,2
317,2016-11-13,2
318,2016-11-14,2
319,2016-11-15,2
320,2016-11-16,2
321,2016-11-17,2
322,2016-11-18,2
323,2016-11-19,2
324,2016-11-20,2
325,2016-11-21,2
326,2016-11-22,2
327,2016-11-23,2
328,2016-11-24,2
329,2016-11-25,2
330,2016-11-26,2
331,2016-11-27,2
332,2016-11-28,2
333,2016-11-29,2
334,2016-11-30,2
335,2016-12-01,2
336,2016-12-02,2
337,2016-12-03,2
338,2016-12-04,2
339,2016-12-05,2
340,2016-12-06,2
341,2016-12-07,2
342,2016-12-08,2
343,2016-12-09,2
344,2016-12-10,2
345,2016-12-11,2
346,2016-12-12,2
347,2016-12-13,2
348,2016-12-14,2
349,2016-12-15,2
350,2016-12-16,2
351,2016-12-17,2
352,2016-12-18,2
353,2016-12-19,2
354,2016-12-20,2
355,2016-12-21,2
356,2016-12-22,2
357,2016-12-23,2
358,2016-12-24,2
359,2016-12-25,2
360,2016-12-26,2
361,2016-12-27,2
362,2016-12-28,2
363,2016-12-29,2
364,2016-12-30,2
365,2016-12-31,2
